O3	O3	Temperature	Temperature	CO	CO	CO2	CO2
51064984	0.12	-18.8	23.46	560.56	5.28	2.32	396.87
51064984	0.08	-20.74	23.54	570.77	5.27	2.31	396.82
2195.69	0.13	-0.41	23.5	550.67	5.18	2.32	396.72
912.7	0.09	-21.06	23.52	560.56	5.32	2.3	396.82
51064984	0.09	-20.09	23.62	545.83	5.23	2.37	396.97
51064984	0.07	-0.09	23.69	550.67	5.36	2.31	396.72
51064984	0.09	-20.09	23.65	541.06	5.05	2.3	396.72
51064984	0.19	-20.41	23.68	548.24	5.32	2.31	396.82
51064984	0.05	-21.38	23.63	541.06	5.33	2.29	396.77
51064984	0.01	-19.45	23.78	503.21	5.35	2.29	422.21
51064984	0.14	-16.87	23.93	534.04	5.2	2.65	397.07
4411.63	0.02	-22.67	23.94	527.17	5.3	2.31	397.02
51064984	0.1	-24.93	23.87	536.36	5.17	2.32	396.97
51064984	0.12	-4.93	23.77	529.45	5.17	2.31	396.92
3525.28	0.05	-17.51	23.79	545.83	5.36	2.31	397.02
51064984	0.1	-19.77	23.75	555.58	5.4	2.5	396.97
51064984	0.08	-20.09	23.72	501.13	5.56	2.31	396.82
51064984	0.07	-21.06	23.72	548.24	5.3	2.31	397.02
51064984	0.09	-22.03	23.67	536.36	5.36	2.31	396.67
51064984	0.11	-11.7	23.59	568.19	5.27	2.32	396.62
51064984	0.1	-22.67	23.54	558.06	5.38	2.3	396.87
51064984	0.11	-1.06	23.52	565.63	5.34	2.31	396.82
51064984	0.12	-26.54	23.5	570.77	5.19	2.29	396.97
3525.28	0.05	-25.58	23.54	573.37	5.33	2.76	396.97
51064984	0.06	-26.87	23.47	543.43	5.26	2.7	397.02
51064984	0.03	-23	23.46	578.63	5.19	2.31	396.97
51064984	0.04	-20.74	23.47	575.99	5.52	2.76	396.67
51064984	0.03	-16.22	23.47	589.4	5.41	2.31	396.52
51064984	0.13	-3.64	23.51	536.36	5.3	2.31	396.77
51064984	0.02	-24.93	23.48	581.29	5.37	2.48	396.62
3525.28	0.09	-24.93	23.48	570.77	5.47	2.31	396.72
51064984	0.13	-28.48	23.46	534.04	5.32	2.29	396.62
51064984	0.08	-27.19	23.37	594.92	5.23	2.76	396.82
51064984	-0.09	-9.12	23.32	589.4	5.38	2.32	396.97
51064984	0.12	-2.03	23.37	600.52	5.26	2.29	396.77
51064984	0.12	-8.8	23.31	581.29	5.45	2.29	396.57
51064984	0.08	-27.51	23.31	594.92	5.52	2.66	396.77
51064984	0.1	-24.93	23.32	586.68	5.42	2.31	396.57
51064984	0.16	-25.58	23.3	570.77	5.33	2.31	396.72
51064984	0.05	-6.54	23.35	536.36	5.28	2.39	396.72
51064984	0.03	-25.25	23.35	553.11	5.39	2.53	396.57
51064984	0.01	-25.25	23.36	583.97	5.36	2.29	396.62
51064984	0.01	-24.29	23.29	558.06	5.24	2.72	396.47
51064984	0.01	-16.54	23.3	575.99	5.5	2.32	396.62
1591.32	0.03	-23.64	23.39	565.63	5.52	2.33	396.72
51064984	0.07	-24.29	23.54	563.08	5.54	2.31	396.82
51064984	0.1	-18.8	23.54	555.58	5.5	2.47	397.07
51064984	0.05	-20.74	23.65	558.06	5.49	2.31	397.02
912.7	0.14	-23.32	23.68	545.83	5.5	2.32	397.07
51064984	0.1	-21.7	23.67	534.04	5.32	2.41	422.21
51064984	0.09	-26.54	23.69	503.21	5.32	2.58	422.21
51064984	0.02	-23	23.65	543.43	5.41	2.31	422.21
51064984	0.04	-23	23.63	548.24	5.27	2.32	422.21
3525.28	0.23	-23.64	23.64	529.45	5.41	2.32	422.16
